"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "Less", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "XML", "HTML", "Ignore", "Properties", "comment", "blank", "total"
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\DrawLinePlugin.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 134
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\DringPlugin.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 126
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\FlipPlugin.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\GroupAlignPlugin.ts", "TypeScript", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 29, 347
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\GroupPlugin.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 71
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\GroupTextEditorPlugin.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 189
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\HistoryPlugin.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 107
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\LayerPlugin.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 114
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\MaterialPlugin.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 49
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\MoveHotKeyPlugin.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 59
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\RulerPlugin.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 69
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\WorkspacePlugin.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 214
"d:\Work\SDbased-VectorPoster-Generator\src\core\ruler\guideline.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 124
"d:\Work\SDbased-VectorPoster-Generator\src\core\ruler\index.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 83
"d:\Work\SDbased-VectorPoster-Generator\src\core\ruler\ruler.ts", "TypeScript", 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 78, 616
"d:\Work\SDbased-VectorPoster-Generator\src\core\ruler\type.d.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 51
"d:\Work\SDbased-VectorPoster-Generator\src\core\ruler\utils.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 161
"d:\Work\SDbased-VectorPoster-Generator\src\env.d.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 31
"d:\Work\SDbased-VectorPoster-Generator\src\hooks\select.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 77
"d:\Work\SDbased-VectorPoster-Generator\src\language\en.json", "JSON", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187
"d:\Work\SDbased-VectorPoster-Generator\src\language\index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 49
"d:\Work\SDbased-VectorPoster-Generator\src\language\pt.json", "JSON", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126
"d:\Work\SDbased-VectorPoster-Generator\src\language\zh.json", "JSON", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176
"d:\Work\SDbased-VectorPoster-Generator\src\main.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 27
"d:\Work\SDbased-VectorPoster-Generator\src\network\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 6, 3, 111
"d:\Work\SDbased-VectorPoster-Generator\src\router\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 25
"d:\Work\SDbased-VectorPoster-Generator\src\router\routes.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\Work\SDbased-VectorPoster-Generator\src\stores\canvas.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 36
"d:\Work\SDbased-VectorPoster-Generator\src\stores\layout.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 29
"d:\Work\SDbased-VectorPoster-Generator\src\stores\userStore.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 162
"d:\Work\SDbased-VectorPoster-Generator\src\styles\contextMenu.css", "CSS", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\Work\SDbased-VectorPoster-Generator\src\styles\index.less", "Less", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"d:\Work\SDbased-VectorPoster-Generator\src\styles\resetViewUi.less", "Less", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 44
"d:\Work\SDbased-VectorPoster-Generator\src\styles\variable.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Work\SDbased-VectorPoster-Generator\src\utils\event\notifier.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 55
"d:\Work\SDbased-VectorPoster-Generator\src\utils\event\types.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 18
"d:\Work\SDbased-VectorPoster-Generator\src\utils\local.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 37
"d:\Work\SDbased-VectorPoster-Generator\src\utils\math.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 26
"d:\Work\SDbased-VectorPoster-Generator\src\utils\utils.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 103
"d:\Work\SDbased-VectorPoster-Generator\src\views\home.vue", "vue", 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 442
"d:\Work\SDbased-VectorPoster-Generator\src\views\home\index.module.less", "Less", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 172
"d:\Work\SDbased-VectorPoster-Generator\src\views\home\index.vue", "vue", 0, 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 35, 486
"d:\Work\SDbased-VectorPoster-Generator\src\views\layout.vue", "vue", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 195
"d:\Work\SDbased-VectorPoster-Generator\src\views\login.vue", "vue", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 157
"d:\Work\SDbased-VectorPoster-Generator\src\views\notification.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 133
"d:\Work\SDbased-VectorPoster-Generator\src\views\notifyDisplay.vue", "vue", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Work\SDbased-VectorPoster-Generator\src\views\settings.vue", "vue", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Work\SDbased-VectorPoster-Generator\src\views\space.vue", "vue", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"d:\Work\SDbased-VectorPoster-Generator\src\views\space\my.vue", "vue", 0, 0, 0, 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37, 678
"d:\Work\SDbased-VectorPoster-Generator\src\views\space\trash.vue", "vue", 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 296
"d:\Work\SDbased-VectorPoster-Generator\tsconfig.json", "JSON with Comments", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\Work\SDbased-VectorPoster-Generator\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Work\SDbased-VectorPoster-Generator\typings\auto-imports.d.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 67
"d:\Work\SDbased-VectorPoster-Generator\typings\editor.d.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 42
"d:\Work\SDbased-VectorPoster-Generator\typings\extends.d.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\Work\SDbased-VectorPoster-Generator\typings\modules.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 7
"d:\Work\SDbased-VectorPoster-Generator\vite.config.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 122
"Total", "-", 4121, 16296, 53, 7192, 191, 62, 1063, 6, 95, 1012, 47, 17, 2, 1046, 1258, 32461
